Marital.status,Application.mode,Application.order,Course,Daytime.evening.attendance,Previous.qualification,Nacionality,Mother.s.qualification,Father.s.qualification,Mother.s.occupation,Father.s.occupation,Displaced,Educational.special.needs,Debtor,Gender,Scholarship.holder,Age.at.enrollment,International,Unemployment.rate,Inflation.rate,GDP,Target
1,1,3,5,1,1,1,19,27,6,8,1,0,0,0,0,20,0,9.4,-0.8,-3.12,Graduate
2,12,1,17,0,1,1,22,27,10,10,0,0,0,1,0,29,0,11.1,0.6,2.02,Graduate
1,12,1,10,1,12,1,22,27,10,10,0,0,1,1,0,33,0,16.2,0.3,-0.92,Dropout
1,12,1,11,1,12,1,23,27,5,6,0,0,1,1,0,24,0,16.2,0.3,-0.92,Dropout
1,1,1,12,1,1,1,13,14,10,8,1,0,0,1,0,22,0,11.1,0.6,2.02,Graduate
1,1,4,5,1,1,1,1,1,8,4,1,0,0,0,0,18,0,15.5,2.8,-4.06,Graduate
1,8,2,9,1,1,1,13,28,10,8,1,0,0,1,0,19,0,13.9,-0.3,0.79,Graduate
1,1,4,5,1,1,1,3,3,3,3,1,0,0,1,0,18,0,9.4,-0.8,-3.12,Graduate
1,14,1,9,1,1,1,22,27,7,7,0,0,0,0,0,55,0,16.2,0.3,-0.92,Dropout
1,1,1,6,1,1,1,2,1,5,11,1,0,0,0,0,19,0,10.8,1.4,1.74,Graduate
1,9,3,5,1,1,1,1,1,4,5,0,0,0,0,0,18,0,9.4,-0.8,-3.12,Dropout
1,1,1,12,1,1,1,1,14,10,9,1,0,0,0,1,18,0,15.5,2.8,-4.06,Dropout
4,12,1,3,0,1,1,22,27,10,8,0,0,0,0,0,42,0,8.9,1.4,3.51,Graduate
1,14,1,16,1,1,1,22,27,10,10,0,0,1,0,0,28,0,10.8,1.4,1.74,Dropout
1,12,1,12,1,1,1,22,27,10,10,0,0,0,1,0,25,0,12.7,3.7,-1.7,Graduate
1,14,1,8,1,6,1,1,20,5,12,1,0,0,0,1,21,0,7.6,2.6,0.32,Dropout
1,1,1,15,1,1,1,3,3,15,20,0,0,0,0,0,18,0,8.9,1.4,3.51,Graduate
1,8,5,7,1,1,1,13,1,5,6,1,0,1,1,0,26,0,8.9,1.4,3.51,Dropout
1,14,1,17,0,1,1,22,27,10,10,1,0,1,1,0,34,0,10.8,1.4,1.74,Dropout
1,8,1,10,1,1,1,23,28,10,8,0,0,0,0,1,19,0,12.4,0.5,1.79,Graduate
1,8,4,12,1,1,1,4,1,3,4,1,0,0,0,0,18,0,12.7,3.7,-1.7,Graduate
